name,url,description,category,pricing,hasApi,tags,isOpenSource,toolType,targetPlatform
PingCastle,https://www.pingcastle.com/,Active Directory vulnerability detection and reporting tool.,authentication,unknown,false,"[""windows-based defenses"",""active directory""]",false,tool,windows
Principal Mapper (PMapper),https://github.com/nccgroup/pmapper,Quickly evaluate IAM permissions in AWS via script and library capable of identifying risks in the configuration of AWS Identity and Access Management (IAM) for an AWS account or an AWS organization.,cloud,open-source,true,"[""cloud platform security""]",true,library,cloud
Merklemap,https://www.merklemap.com/,"Discover and enumerate all subdomains associated with a website, including those not publicly advertised. Works by ingesting certificate transparency logs.",cryptography,unknown,false,"[""dns""]",false,tool,unknown
OWASP WebGoat Project 7.1 docker image,https://hub.docker.com/r/webgoat/webgoat-7.1,OWASP WebGoat Project 7.1 docker image — ctf API,ctf,open-source,false,"[""intentionally vulnerable systems"",""intentionally vulnerable systems as docker containers""]",false,tool,unknown
HardeningAuditor,https://github.com/cottinghamd/hardeningauditor,Scripts for comparing Microsoft Windows compliance with the Australian ASD 1709 & Office 2016 Hardening Guides,endpoint,open-source,false,"[""tools to check security hardening"",""windows""]",true,tool,windows
Web Application Security Assessment Report Template,http://lucideus.com/pdf/stw.pdf,Sample Web application security assessment reporting template provided by Lucideus.,exploit,unknown,false,"[""online resources"",""penetration testing report templates""]",false,tool,unknown
macOS Artifact Parsing Tool (mac_apt),https://github.com/ydkhatri/mac_apt,"Plugin based forensics framework for quick mac triage that works on live machines, disk images or individual artifact files.",forensics,open-source,true,"[""ir tools collection"",""osx evidence collection""]",true,framework,macos
Slack DFIR channel,https://dfircommunity.slack.com,Slack DFIR Communitiy channel - Signup here.,incident-response,unknown,false,"[""ir tools collection"",""communities""]",false,tool,unknown
Hudson Rock,https://www.hudsonrock.com/threat-intelligence-cybercrime-tools,is a free cybercrime intelligence toolkit to check exposure in Infostealer malware infection.,malware-analysis,free,false,"[""domain and ip research""]",false,tool,unknown
Fing,https://www.fing.com/products/fing-app,"Network scanning and host enumeration app that performs NetBIOS, UPnP, Bonjour, SNMP, and various other advanced device fingerprinting techniques.",mobile,unknown,false,"[""android utilities""]",false,tool,mobile
wazuh,https://github.com/wazuh/wazuh,"Wazuh is a free and open source platform used for threat prevention, detection, and response. It is capable of monitoring file system changes, system calls and inventory changes.",monitoring,open-source,false,"[""network"",""monitoring / logging""]",true,platform,unknown
Nipper-ng,https://github.com/arpitn30/nipper-ng,to check the configuration of network devices (does not seem to be updated),network,open-source,false,"[""tools to check security hardening"",""network devices""]",true,tool,unknown
Fb-sleep-stats,https://github.com/sqren/fb-sleep-stats,Use Facebook to track your friends’ sleeping habits.,osint,open-source,false,"[""social media tools"",""facebook""]",true,tool,unknown
JavaScript Programming,https://github.com/sorrycc/awesome-javascript,In-browser development and scripting.,other,open-source,false,"[""online resources"",""other lists online""]",true,tool,unknown
Confusion checker,https://github.com/sonatype-nexus-community/repo-diff,Script to check if you have artifacts containing the same name between your repositories.,vulnerability-scanner,open-source,false,"[""devsecops"",""dependency confusion""]",true,tool,unknown
InfoSec § Hacking challenges,https://github.com/anarchotechnyc/meta/wiki/infosec#hacking-challenges,"Comprehensive directory of CTFs, wargames, hacking challenge websites, pentest practice lab exercises, and more.",web,open-source,false,"[""online resources"",""other lists online""]",true,tool,unknown
Seatbelt,https://github.com/ghostpack/seatbelt,[F] — Windows triage enumeration.,authentication,open-source,false,"[""active directory & windows""]",true,tool,windows
gVisor,https://github.com/google/gvisor,"Application kernel, written in Go, that implements a substantial portion of the Linux system surface to provide an isolation boundary between the application and the host kernel.",cloud,open-source,false,"[""cloud platform security""]",true,platform,cloud
Hashcat,http://hashcat.net/hashcat,The more fast hash cracker.,cryptography,unknown,false,"[""hash cracking tools""]",false,tool,unknown
OWASP Security Shepherd,https://hub.docker.com/r/ismisepaul/securityshepherd,OWASP Security Shepherd — ctf API,ctf,open-source,false,"[""intentionally vulnerable systems"",""intentionally vulnerable systems as docker containers""]",false,tool,unknown
